Detectado,Acuracia
person, 0.9761
tvmonitor, 0.9615
person, 0.9764
tvmonitor, 0.9488
person, 0.9763
tvmonitor, 0.9511
person, 0.9766
tvmonitor, 0.9559
person, 0.9796
tvmonitor, 0.9474
person, 0.9798
tvmonitor, 0.9576
person, 0.9813
tvmonitor, 0.9478
person, 0.9824
tvmonitor, 0.9477
person, 0.9961
tvmonitor, 0.9255
person, 0.9672
tvmonitor, 0.9671
tvmonitor, 0.9646
person, 0.9548
tvmonitor, 0.9652
person, 0.9636
person, 0.9603
tvmonitor, 0.9574
person, 0.9619
tvmonitor, 0.9602
tvmonitor, 0.9662
person, 0.9488
tvmonitor, 0.9642
person, 0.9635
tvmonitor, 0.9618
person, 0.9569
tvmonitor, 0.9653
person, 0.9498
tvmonitor, 0.9623
person, 0.9552
tvmonitor, 0.9696
person, 0.9520
